Player,Height,Weight,DraftNumber,Origin
Sasha Vujačić,6-7,195.0,27,Udine
Jabari Smith Jr.,6-10,220.0,3,Auburn
Tidjane Salaün,6-8,207.0,6,Cholet
Noah Vonleh,6-10,257.0,9,Indiana
Semi Ojeleye,6-6,240.0,37,Southern Methodist
Omer Yurtseven,6-11,275.0,UFA,Georgetown
Kai Jones,6-11,221.0,19,Texas
Dwight Buycks,6-3,190.0,UFA,Marquette
Ja'Kobe Walter,6-5,180.0,19,Baylor
Julian Strawther,6-6,205.0,29,Gonzaga
Josh Smith,6-9,225.0,17,Oak Hill Academy (VA)
Steven Adams,6-11,265.0,12,Pittsburgh
Al Jefferson,6-10,280.0,15,No College
Victor Oladipo,6-3,213.0,2,Indiana
Ty Lawson,5-11,195.0,18,North Carolina
Hamidou Diallo,6-5,202.0,45,Kentucky
Tristan Vukcevic,7-0,220.0,42,Real Madrid
Ricky Rubio,6-2,190.0,5,FC Barcelona
Mo Bamba,7-0,231.0,6,Texas
James Jones,6-8,218.0,49,Miami
Jamal Crawford,6-5,200.0,8,Michigan
Jaylin Williams,6-9,240.0,34,Arkansas
Vlatko Čančar,6-8,236.0,49,San Pablo Burgos
Bub Carrington,6-4,190.0,14,Pittsburgh
Tyrese Haliburton,6-5,185.0,12,Iowa State
Cameron Payne,6-3,183.0,14,Murray State
Paul Reed,6-9,210.0,58,DePaul
Rashad Vaughn,6-6,202.0,17,UNLV
Alperen Şengün,6-11,243.0,16,Besiktas
Robin Lopez,7-1,281.0,15,Stanford
Gary Neal,6-4,210.0,UFA,Towson
Ryan Broekhoff,6-6,215.0,UFA,Valparaiso
Devin Booker,6-6,206.0,13,Kentucky
Armoni Brooks,6-3,195.0,,Houston
Malachi Flynn,6-1,185.0,29,San Diego State
Brandon Williams,6-6,215.0,UFA,Davidson
Jake Layman,6-8,209.0,47,Maryland
Tristan Da Silva,6-8,217.0,18,Colorado
Jalen Williams,6-5,211.0,12,Santa Clara
Donald Sloan,6-3,205.0,UFA,Texas A&M
Wayne Selden,6-4,232.0,,Kansas
Brandin Podziemski,6-4,205.0,19,Santa Clara
Jonas Valančiūnas,6-11,265.0,5,Lietuvos rytas Vilnius
T.J. Warren,6-8,220.0,14,North Carolina State
Joakim Noah,6-11,232.0,9,Florida
Luis Scola,6-9,241.0,55,Tau Ceramica
Killian Hayes,6-5,195.0,7,Ratiopharm Ulm
Darren Collison,6-0,160.0,21,UCLA
Jason Terry,6-2,185.0,10,Arizona
Bruno Fernando,6-9,240.0,34,Maryland
Jake LaRavia,6-7,235.0,19,Wake Forest
Josh Okogie,6-4,213.0,20,Georgia Tech
Matt Thomas,6-3,190.0,UFA,Iowa State
Steve Blake,6-3,172.0,38,Maryland
Eric Paschall,6-6,255.0,41,Villanova
Manu Ginóbili,6-6,205.0,57,Virtus Bologna
Desmond Bane,6-5,215.0,30,TCU
Carmelo Anthony,6-7,238.0,3,Syracuse
Emmanuel Mudiay,6-3,200.0,7,Guangdong
Thomas Bryant,6-10,248.0,42,Indiana
Cam Reddish,6-7,217.0,10,Duke
Quincy Acy,6-7,240.0,37,Baylor
Evan Fournier,6-6,205.0,20,Poitiers Basket 86
Luke Kennard,6-5,206.0,12,Duke
Tosan Evbuomwan,6-7,217.0,UFA,Princeton
Jarred Vanderbilt,6-8,214.0,41,Kentucky
Udoka Azubuike,6-11,270.0,27,Kansas
Stephon Castle,6-6,215.0,4,Connecticut
P.J. Tucker,6-5,245.0,35,Texas
Facundo Campazzo,5-10,195.0,UFA,Murcia
